input,output_3,output_1
0000,1,1
0001,0,0
0002,0,1
0010,1,1
0011,0,1
0012,1,0
0020,0,0
0021,1,0
0022,1,0
0100,0,1
0101,1,1
0102,0,1
0110,0,1
0111,0,1
0112,1,0
0120,0,0
0121,0,0
0122,1,0
0200,0,0
0201,1,1
0202,1,1
0210,0,0
0211,1,1
0212,0,0
0220,1,1
0221,0,1
0222,0,1
1000,0,1
1001,0,1
1002,0,0
1010,0,0
1011,0,0
1012,1,1
1020,1,0
1021,0,1
1022,1,1
1100,0,1
1101,0,0
1102,0,0
1110,0,1
1111,1,1
1112,0,0
1120,0,1
1121,1,1
1122,0,0
1200,1,0
1201,0,0
1202,0,1
1210,1,0
1211,1,1
1212,1,1
1220,0,0
1221,1,1
1222,0,0
2000,0,0
2001,1,1
2002,0,0
2010,0,0
2011,1,1
2012,1,1
2020,0,1
2021,1,0
2022,1,0
2100,1,1
2101,0,1
2102,0,1
2110,0,0
2111,1,0
2112,1,0
2120,1,0
2121,0,0
2122,1,0
2200,0,1
2201,0,1
2202,0,1
2210,1,1
2211,1,0
2212,1,1
2220,1,0
2221,0,0
2222,1,1
