input,b_2,b_3,output_2,output_3
0,62,5,27,18
1,7,22,42,22
2,38,43,53,9
3,18,49,64,25
4,33,25,49,38
5,27,43,0,21
6,15,28,14,0
7,33,45,14,16
8,6,9,65,42
9,41,3,11,32
10,10,9,59,9
11,12,29,22,58
12,62,45,1,26
13,57,31,41,12
14,17,55,36,46
15,63,51,29,22
16,58,47,40,16
17,15,32,37,11
18,20,1,18,25
19,6,11,25,10
20,47,16,32,20
21,28,56,6,20
22,39,15,15,57
23,65,57,26,23
24,35,53,64,42
25,44,34,31,51
26,32,57,61,2
27,5,6,49,16
28,35,4,37,37
29,40,14,50,63
30,33,32,58,5
31,31,50,19,21
32,24,1,50,54
33,21,50,8,5
34,47,43,40,11
35,65,25,36,49
36,28,62,27,36
37,7,16,3,24
38,56,11,12,65
39,63,66,23,0
40,62,31,50,10
41,19,8,16,49
42,30,10,25,0
43,5,21,40,14
44,54,65,55,19
45,18,53,18,11
46,49,47,2,21
47,30,38,28,54
48,63,65,60,7
49,1,65,37,45
50,46,28,38,64
51,54,64,57,6
52,10,50,65,56
53,24,48,7,52
54,17,34,6,35
55,57,56,37,52
56,61,44,52,28
57,7,34,34,32
58,1,25,35,7
59,57,65,23,22
60,25,37,64,49
61,60,49,20,58
62,41,1,46,7
63,48,63,35,53
64,25,55,52,45
65,47,21,23,41
66,16,30,29,17
67,28,54,38,18
68,47,44,40,52
69,60,5,5,1
70,23,47,43,47
71,27,57,53,23
72,10,22,13,28
73,26,57,6,26
74,13,26,61,26
75,50,51,22,18
76,58,37,37,24
77,64,26,41,53
78,17,0,41,12
79,37,52,56,54
80,62,30,48,62
81,13,36,0,40
82,20,36,43,16
83,54,22,55,26
84,61,6,51,52
85,14,56,13,46
86,48,2,3,38
87,2,7,6,64
88,42,17,53,66
89,53,52,66,58
90,62,16,58,31
91,28,3,5,43
92,13,50,14,26
93,54,38,62,28
94,37,49,22,59
95,23,20,31,37
96,59,43,31,35
97,60,37,31,7
98,28,27,20,42
99,29,40,40,60
100,62,33,46,2
101,7,16,66,0
102,52,22,19,0
103,18,40,0,63
104,55,51,35,29
105,34,29,2,51
106,41,25,54,38
107,5,50,23,37
108,54,9,3,64
109,52,6,6,44
110,50,43,20,23
111,24,17,29,1
112,13,11,19,65
113,5,28,8,0
114,49,27,29,50
115,31,51,11,59
116,46,43,2,41
117,55,41,8,50
118,64,39,33,64
119,9,51,44,66
120,28,53,58,58
121,54,37,63,9
122,55,10,4,18
123,24,34,64,52
124,18,57,37,24
125,51,7,50,64
126,52,14,9,52
127,61,65,58,48
128,59,10,22,18
129,7,43,18,51
130,2,23,15,52
131,37,59,26,63
132,26,43,6,45
133,29,13,5,11
134,49,62,10,18
135,26,2,59,10
136,32,24,63,3
137,30,24,65,65
138,39,7,41,27
139,30,50,24,32
140,64,13,33,24
141,9,44,19,25
142,39,29,53,40
143,65,49,21,20
144,37,65,44,16
145,24,38,26,3
146,60,18,18,58
147,54,19,26,56
148,19,29,38,6
149,59,41,14,23
150,23,25,31,39
151,30,18,17,28
152,49,30,45,63
153,26,48,44,59
154,48,47,45,4
155,46,31,31,19
156,21,51,43,64
157,61,18,21,47
158,26,30,27,12
159,60,65,55,38
160,31,23,31,16
161,3,47,13,41
162,11,32,17,52
163,60,0,40,56
164,58,29,4,59
165,66,65,4,59
166,39,14,28,55
167,20,1,12,35
168,40,56,54,7
169,10,11,43,19
170,53,43,24,62
171,33,44,27,34
172,62,64,24,44
173,19,4,30,57
174,4,42,40,26
175,35,20,23,27
176,46,53,49,15
177,10,2,20,11
178,12,65,26,42
179,54,60,5,2
180,23,40,66,39
181,35,45,15,44
182,50,22,48,43
183,51,28,1,23
184,35,9,50,33
185,11,62,51,39
186,51,62,2,58
187,46,27,25,32
188,39,48,60,31
189,18,34,46,34
190,44,47,23,62
191,28,36,5,44
192,58,53,6,56
193,30,66,23,20
194,9,37,36,66
195,25,24,63,44
196,22,13,55,28
197,45,12,30,9
198,66,63,23,59
199,46,59,38,49
200,23,60,43,18
201,22,55,32,14
202,52,57,33,56
203,22,43,40,38
204,17,9,63,29
205,34,43,27,22
206,61,11,55,44
207,35,37,59,44
208,51,31,7,66
209,6,62,28,25
210,17,57,61,30
211,42,44,29,65
212,59,19,20,66
213,61,53,35,24
214,66,60,8,16
215,59,18,1,44
216,48,46,62,22
217,65,55,47,55
218,33,51,40,0
219,24,6,22,26
220,27,39,56,26
221,13,63,23,46
222,3,43,48,42
223,24,62,40,13
224,47,33,48,32
225,47,40,49,18
226,29,24,59,34
227,3,41,24,15
228,60,36,38,17
229,63,56,57,2
230,5,2,49,23
231,33,46,48,29
232,19,45,41,50
233,53,33,5,18
234,18,63,66,38
235,4,37,18,5
236,18,54,43,38
237,17,33,50,28
238,65,47,23,22
239,26,50,30,16
240,38,33,41,24
241,10,50,46,11
242,47,3,41,61
243,55,48,64,52
244,63,31,46,60
245,50,33,26,56
246,56,60,62,46
247,22,29,5,40
248,14,44,3,13
249,12,30,34,7
250,53,49,5,45
251,28,23,7,10
252,33,13,60,10
253,43,29,40,21
254,53,33,31,21
255,44,20,21,45
