input,b_3,b_1,output_3,output_1
0,5,0,18,24
1,22,38,22,5
2,43,53,9,7
3,49,0,25,47
4,25,9,38,49
5,43,64,21,48
6,28,24,0,55
7,45,56,16,39
8,9,52,42,29
9,3,23,32,26
10,9,48,9,1
11,29,26,58,56
12,45,27,26,42
13,31,46,12,16
14,55,62,46,54
15,51,20,22,18
16,47,29,16,13
17,32,20,11,21
18,1,46,25,26
19,11,50,10,34
20,16,4,20,17
21,56,50,20,43
22,15,13,57,64
23,57,12,23,20
24,53,46,42,30
25,34,56,51,54
26,57,45,2,6
27,6,56,16,4
28,4,28,37,62
29,14,13,63,23
30,32,2,5,6
31,50,53,21,29
32,1,42,54,32
33,50,63,5,56
34,43,44,11,18
35,25,44,49,51
36,62,44,36,6
37,16,44,24,42
38,11,0,65,59
39,66,5,0,46
40,31,41,10,9
41,8,40,49,4
42,10,27,0,44
43,21,41,14,15
44,65,15,19,62
45,53,63,11,40
46,47,38,21,46
47,38,66,54,54
48,65,6,7,2
49,65,1,45,54
50,28,60,64,34
51,64,16,6,6
52,50,7,56,15
53,48,62,52,10
54,34,16,35,28
55,56,21,52,47
56,44,29,28,56
57,34,26,32,3
58,25,41,7,27
59,65,12,22,24
60,37,5,49,23
61,49,25,58,58
62,1,25,7,16
63,63,23,53,48
64,55,54,45,39
65,21,66,41,5
66,30,21,17,23
67,54,52,18,13
68,44,43,52,44
69,5,2,1,63
70,47,64,47,46
71,57,50,23,60
72,22,35,28,28
73,57,51,26,37
74,26,28,26,49
75,51,33,18,29
76,37,39,24,8
77,26,44,53,42
78,0,50,12,16
79,52,45,54,26
80,30,42,62,26
81,36,18,40,29
82,36,11,16,10
83,22,58,26,55
84,6,0,52,33
85,56,64,46,10
86,2,17,38,28
87,7,58,64,66
88,17,8,66,17
89,52,29,58,12
90,16,56,31,47
91,3,36,43,21
92,50,4,26,29
93,38,42,28,46
94,49,48,59,55
95,20,24,37,1
96,43,32,35,3
97,37,37,7,31
98,27,12,42,7
99,40,65,60,36
100,33,39,2,21
101,16,44,0,3
102,22,60,0,50
103,40,9,63,6
104,51,28,29,5
105,29,4,51,16
106,25,1,38,44
107,50,12,37,7
108,9,4,64,1
109,6,9,44,18
110,43,41,23,25
111,17,26,1,38
112,11,43,65,51
113,28,34,0,60
114,27,58,50,56
115,51,52,59,65
116,43,45,41,25
117,41,38,50,10
118,39,31,64,38
119,51,7,66,25
120,53,53,58,19
121,37,43,9,63
122,10,2,18,46
123,34,9,52,19
124,57,59,24,7
125,7,9,64,21
126,14,1,52,7
127,65,8,48,29
128,10,65,18,28
129,43,17,51,66
130,23,42,52,1
131,59,38,63,46
132,43,65,45,17
133,13,25,11,52
134,62,23,18,40
135,2,39,10,66
136,24,11,3,2
137,24,13,65,5
138,7,21,27,0
139,50,54,32,12
140,13,57,24,11
141,44,14,25,24
142,29,66,40,42
143,49,20,20,27
144,65,32,16,8
145,38,5,3,39
146,18,56,58,59
147,19,61,56,53
148,29,19,6,24
149,41,34,23,31
150,25,19,39,65
151,18,19,28,23
152,30,55,63,27
153,48,60,59,32
154,47,39,4,19
155,31,57,19,18
156,51,62,64,28
157,18,55,47,0
158,30,11,12,29
159,65,9,38,42
160,23,13,16,21
161,47,17,41,14
162,32,24,52,66
163,0,7,56,39
164,29,47,59,5
165,65,3,59,5
166,14,14,55,52
167,1,46,35,21
168,56,38,7,7
169,11,46,19,6
170,43,38,62,49
171,44,57,34,7
172,64,8,44,0
173,4,44,57,48
174,42,21,26,2
175,20,12,27,18
176,53,35,15,4
177,2,55,11,37
178,65,57,42,0
179,60,20,2,61
180,40,4,39,30
181,45,54,44,9
182,22,62,43,44
183,28,55,23,44
184,9,23,33,52
185,62,61,39,45
186,62,21,58,8
187,27,61,32,11
188,48,47,31,44
189,34,15,34,55
190,47,43,62,50
191,36,3,44,19
192,53,23,56,6
193,66,38,20,25
194,37,21,66,33
195,24,18,44,28
196,13,32,28,52
197,12,10,9,29
198,63,5,59,53
199,59,29,49,48
200,60,51,18,7
201,55,57,14,22
202,57,25,56,46
203,43,2,38,57
204,9,41,29,43
205,43,57,22,19
206,11,62,44,36
207,37,62,44,32
208,31,52,66,62
209,62,66,25,15
210,57,60,30,44
211,44,48,65,41
212,19,56,66,49
213,53,20,24,9
214,60,8,16,44
215,18,57,44,23
216,46,40,22,51
217,55,14,55,33
218,51,50,0,28
219,6,37,26,20
220,39,1,26,53
221,63,58,46,66
222,43,21,42,45
223,62,48,13,15
224,33,54,32,55
225,40,47,18,1
226,24,14,34,42
227,41,23,15,29
228,36,38,17,13
229,56,15,2,9
230,2,60,23,63
231,46,55,29,58
232,45,3,50,44
233,33,48,18,45
234,63,53,38,31
235,37,27,5,44
236,54,62,38,55
237,33,17,28,58
238,47,22,22,24
239,50,58,16,23
240,33,63,24,4
241,50,7,11,12
242,3,17,61,34
243,48,31,52,20
244,31,40,60,30
245,33,51,56,54
246,60,18,46,28
247,29,16,40,24
248,44,9,13,53
249,30,25,7,28
250,49,32,45,19
251,23,16,10,52
252,13,21,10,66
253,29,62,21,8
254,33,48,21,17
255,20,3,45,3
